7v6nA_antigen.pdb 7v6nED_antibody.pdb
7yziB_antigen.pdb 7yziC_antibody.pdb
7yzjE_antigen.pdb 7yzjHL_antibody.pdb
7yzkB_antigen.pdb 7yzkC_antibody.pdb
7z0xR_antigen.pdb 7z0xHL_antibody.pdb
7z0yR_antigen.pdb 7z0yHL_antibody.pdb
7z12A_antigen.pdb 7z12BC_antibody.pdb
7z1aC_antigen.pdb 7z1aE_antibody.pdb
7z1bA_antigen.pdb 7z1bF_antibody.pdb
7z1cC_antigen.pdb 7z1cD_antibody.pdb
7z1dE_antigen.pdb 7z1dF_antibody.pdb
7z1eE_antigen.pdb 7z1eF_antibody.pdb
7z1xA_antigen.pdb 7z1xB_antibody.pdb
7z2mK_antigen.pdb 7z2mBA_antibody.pdb
