7xjiAB_antigen.pdb  5ommC_antibody.pdb
7y8jA_antigen.pdb  6z2lCB_antibody.pdb
7y8jA_antigen.pdb  8gooDE_antibody.pdb
7y8jA_antigen.pdb  8dwxHL_antibody.pdb
7y8jA_antigen.pdb  5lspHL_antibody.pdb
7y9tB_antigen.pdb  7rlwCD_antibody.pdb
7y9tB_antigen.pdb  6x05K_antibody.pdb
7y9tB_antigen.pdb  5um8DE_antibody.pdb
7y9tB_antigen.pdb  1tzgIM_antibody.pdb
7y9tB_antigen.pdb  7wtjHL_antibody.pdb
7y9tB_antigen.pdb  7ahuBA_antibody.pdb
7y9uA_antigen.pdb  7ubxD_antibody.pdb
7y9uA_antigen.pdb  5lwfD_antibody.pdb
7y9uA_antigen.pdb  8byuHL_antibody.pdb
7y9uA_antigen.pdb  7kc9F_antibody.pdb
7y9uA_antigen.pdb  5bv7CB_antibody.pdb
7y9vA_antigen.pdb  4ypgHL_antibody.pdb
