7trpAB_antigen.pdb  5xkuCB_antibody.pdb
7ufwA_antigen.pdb  8p8aDC_antibody.pdb
7ugnA_antigen.pdb  7dfaHL_antibody.pdb
7ugnA_antigen.pdb  4lqfHL_antibody.pdb
7ugnA_antigen.pdb  7lcnBD_antibody.pdb
7ugnA_antigen.pdb  5i8cAB_antibody.pdb
7ugnA_antigen.pdb  3ifnHL_antibody.pdb
7ugnA_antigen.pdb  7r1zC_antibody.pdb
7ugoA_antigen.pdb  4belD_antibody.pdb
7ugoA_antigen.pdb  7e6pHL_antibody.pdb
7ugoA_antigen.pdb  7t17JK_antibody.pdb
7ugoA_antigen.pdb  5w6dHL_antibody.pdb
7ugoA_antigen.pdb  7xmzHL_antibody.pdb
7ugoA_antigen.pdb  4cmhBC_antibody.pdb
