6ccbC_antigen.pdb  6m2rHL_antibody.pdb
6e3yAB_antigen.pdb  6n50E_antibody.pdb
6e3yAB_antigen.pdb  4xphHL_antibody.pdb
6e3yAB_antigen.pdb  7r88CD_antibody.pdb
6e4xB_antigen.pdb  6bkcHL_antibody.pdb
6e4xB_antigen.pdb  7klwB_antibody.pdb
6e4xB_antigen.pdb  7nmuC_antibody.pdb
6e4xB_antigen.pdb  6h7oD_antibody.pdb
6e4xB_antigen.pdb  8f0iCD_antibody.pdb
6e4xB_antigen.pdb  7q9pEF_antibody.pdb
6e4yP_antigen.pdb  4g3yHL_antibody.pdb
6e4yP_antigen.pdb  8jz7Ss_antibody.pdb
